purchase_id,gem_id,supplier_id,user_id,quantity,unit_cost,purchase_date,notes
501,179,8,10,11,9534.99,6/4/2022,Exclusive consignment stock
502,101,20,12,31,15056.03,3/1/2025,None
503,144,59,5,9,866.07,5/16/2018,New supplier trial order
504,151,23,21,38,15314.24,10/10/2024,Long-term supplier contract fulfillment
505,123,29,30,6,13172.12,8/21/2022,Direct mine purchase
506,178,14,5,3,2931.19,5/16/2024,Heat-treated disclosed
507,105,20,32,20,17712.94,8/14/2022,Mixed quality lot
508,158,9,36,16,12061.72,5/17/2024,Special request order
509,170,33,1,25,7949.35,3/31/2019,Unheated certified
510,157,34,1,6,17082.68,7/24/2022,Unheated certified
511,106,44,33,32,6844.35,7/23/2022,New supplier trial order
512,168,44,42,10,18040.68,4/30/2025,New supplier trial order
513,154,39,47,34,9438.32,1/7/2018,AGL certified
514,135,40,22,8,15395.08,3/18/2025,Single stone premium buy
515,148,22,4,29,7514.73,9/17/2024,Premium quality batch
516,122,37,12,36,791.52,4/12/2018,Special request order
517,110,4,4,48,22622.37,8/24/2021,Heat-treated disclosed
518,151,17,3,35,15666.06,10/11/2019,Certificate of authenticity included
519,179,26,7,50,23211.32,2/13/2020,Special request order
520,132,21,46,39,24119.7,3/29/2024,GIA certified stones
521,129,37,41,36,16615.6,1/20/2021,GIA certified stones
522,133,58,48,7,468.36,5/31/2018,Certificate of authenticity included
523,108,2,6,29,3114.55,1/14/2023,Exclusive consignment stock
524,151,32,33,31,16797.33,11/6/2024,Mixed quality lot
525,157,15,3,9,15911.91,11/12/2022,None
526,172,49,44,3,4539.05,4/23/2018,Emergency reorder
527,145,33,17,21,16600.17,6/26/2024,Discounted end-of-season lot
528,158,38,16,44,17717.46,10/31/2021,Special request order
529,106,39,37,17,11090.24,10/31/2019,Heat-treated disclosed
530,141,46,43,18,8011.69,5/15/2025,Unheated certified
531,136,12,20,27,18716.6,8/5/2021,Premium quality batch
532,128,2,11,44,18915.13,8/21/2023,Special request order
533,156,41,34,15,24331.95,8/15/2021,Unheated certified
534,108,28,47,1,7574.6,5/8/2020,Parcel purchase
535,110,12,26,3,8772.77,6/18/2021,AGL certified
