sale_id,gem_id,customer_id,user_id,quantity_sold,unit_price,sale_date,notes
901,169,12,50,6,66751.23,2/8/2024,Estate sale follow-up
902,132,28,38,10,4765.54,2/19/2023,Corporate gift
903,142,18,5,3,29898.84,10/31/2024,Payment plan arranged
904,152,75,21,10,65072.01,3/28/2022,Layaway plan completed
905,140,17,46,10,29031.63,11/16/2022,Wedding anniversary
906,157,63,23,10,276.08,2/25/2024,Repeat customer discount applied
907,178,17,4,8,91469.75,9/25/2021,Holiday season purchase
908,144,73,16,5,24014.6,1/23/2024,Wholesale to retailer
909,158,20,45,2,42098.7,8/25/2022,VIP client order
910,180,15,17,3,17611.73,5/30/2020,Investment purchase
911,119,7,18,2,47283.15,7/26/2023,Tax-free sale processed
912,166,1,22,5,61618.55,7/31/2022,Wholesale to retailer
913,122,18,21,2,59583.82,6/6/2025,Referred by existing client
914,129,63,13,7,42295.57,2/25/2021,Online order fulfilled
915,135,74,45,2,61115.8,12/30/2022,Insurance replacement stone
916,171,44,6,8,69186.01,6/2/2025,VIP client order
917,145,27,2,1,72770.15,8/24/2024,Corporate gift
918,120,56,34,8,32386.55,4/25/2024,First-time customer
919,170,55,30,3,52623.35,5/25/2020,None
920,134,71,26,7,40887.18,3/10/2024,Online order fulfilled
921,154,64,6,6,63105.35,8/25/2024,Referred by existing client
922,131,23,22,10,48259.04,1/10/2020,Wedding anniversary
923,159,5,18,9,63848.03,4/16/2025,Investment purchase
924,146,47,14,7,4421.74,7/1/2022,Holiday season purchase
925,137,65,40,2,50755.62,4/3/2024,Payment plan arranged
926,103,3,15,2,82281.72,12/10/2023,Birthday gift
927,108,16,23,8,69014.21,3/28/2024,Referred by existing client
928,172,72,13,5,42060.95,3/31/2020,Certified by GIA
929,135,74,23,7,36691.84,12/2/2023,Payment plan arranged
930,135,6,4,8,36380.72,1/25/2025,Engagement ring stone
931,134,30,38,3,78126.7,3/19/2021,Loyalty reward redemption
932,108,31,13,10,64325.04,4/25/2021,Online order fulfilled
933,163,5,22,3,35743.04,6/26/2022,Investment purchase
