gem_id,category_id,gem_name,gem_type,weight_carat,color,clarity,origin,price_per_carat,added_date
101,51,Royal Blue Sapphire,Natural Sapphire,33.56,Royal Blue,Eye Clean,Kashmir,3650.07,7/7/2018
102,29,Pigeon Blood Ruby,Natural Ruby,47.33,Vivid Red,VS1,Mogok Myanmar,11399.06,4/9/2025
103,6,Colombian Emerald,Natural Emerald,42.5,Vivid Green,SI1,Muzo Colombia,11002.75,2/2/2020
104,6,Round Brilliant Diamond,Natural Diamond,38.16,D Colorless,IF,Botswana,11181.91,8/15/2021
105,9,Alexandrite,Natural Alexandrite,20.3,Green/Red,VVS2,Ural Russia,12666.07,2/12/2025
106,30,Padparadscha Sapphire,Natural Sapphire,47.22,Pink-Orange,Eye Clean,Sri Lanka,13883.91,11/27/2023
107,26,Red Spinel,Natural Spinel,9.39,Red,VVS1,Tajikistan,3718.2,3/3/2019
108,58,Paraiba Tourmaline,Natural Tourmaline,41.54,Neon Blue-Green,Eye Clean,Paraiba Brazil,16443.83,10/8/2022
109,20,Imperial Topaz,Natural Topaz,7.94,Golden Orange,VVS1,Ouro Preto Brazil,1031.2,2/18/2020
110,35,Tanzanite,Natural Tanzanite,10,Violet Blue,VVS2,Arusha Tanzania,2757.76,2/4/2018
111,29,Green Tsavorite,Natural Garnet,20.89,Vivid Green,Eye Clean,Kenya,5124.06,10/22/2024
112,34,Demantoid Garnet,Natural Garnet,26.44,Green,VVS1,Ural Russia,4896.74,9/20/2021
113,43,Pink Sapphire,Natural Sapphire,48.85,Hot Pink,VS2,Sri Lanka,2738.81,4/10/2019
114,28,Yellow Diamond,Natural Diamond,40.68,Fancy Yellow,VS1,South Africa,8002.9,9/29/2023
115,43,Pink Diamond,Natural Diamond,24.33,Fancy Pink,VVS2,Argyle Australia,64607.74,4/28/2018
116,57,Blue Diamond,Natural Diamond,34.42,Fancy Blue,IF,South Africa,35335.49,1/7/2021
117,43,Orange Sapphire,Natural Sapphire,9.93,Vivid Orange,Eye Clean,Sri Lanka,611.36,8/23/2020
118,28,Green Emerald Zambia,Natural Emerald,41.79,Medium Green,SI2,Zambia,2090.33,1/22/2025
119,18,Star Ruby,Natural Ruby,33.16,Red,Cabochon,Thailand,1377.02,10/3/2023
120,39,Star Sapphire,Natural Sapphire,39.15,Blue,Cabochon,Sri Lanka,1802.77,1/6/2018
121,40,Mozambique Ruby,Natural Ruby,47.87,Red,Eye Clean,Mozambique,2142.85,3/20/2021
122,60,Morganite,Natural Beryl,18.3,Peach Pink,Eye Clean,Brazil,304.94,3/4/2023
123,14,Aquamarine,Natural Beryl,40.42,Sky Blue,Eye Clean,Brazil,1519.22,6/10/2021
124,59,Heliodor,Natural Beryl,13.22,Golden Yellow,Eye Clean,Ukraine,238.28,5/3/2021
125,20,Red Beryl,Natural Beryl,30.41,Red,Eye Clean,Utah USA,6311.34,11/22/2021
126,35,Goshenite,Natural Beryl,5.48,Colorless,Eye Clean,Pakistan,290.85,4/4/2020
127,50,Bixbite,Natural Beryl,32.77,Red,VS1,New Mexico USA,5447.49,11/22/2022
128,21,Chrome Tourmaline,Natural Tourmaline,17.89,Chrome Green,Eye Clean,Tanzania,1121.57,3/14/2019
129,34,Rubellite,Natural Tourmaline,5.68,Red-Pink,Eye Clean,Nigeria,772.11,1/25/2023
130,22,Indicolite,Natural Tourmaline,22.81,Blue,Eye Clean,Brazil,531.87,7/15/2020
131,35,Bi-Color Tourmaline,Natural Tourmaline,6.14,Green-Pink,Eye Clean,Brazil,1422.85,4/8/2023
132,52,Watermelon Tourmaline,Natural Tourmaline,26.79,Green/Pink,Eye Clean,Brazil,1004.19,12/30/2019
133,15,Rhodolite Garnet,Natural Garnet,14.15,Rose Red,Eye Clean,Tanzania,719.3,7/27/2024
134,40,Spessartite Garnet,Natural Garnet,2.52,Orange,Eye Clean,Nigeria,1058.78,3/17/2021
135,18,Hessonite Garnet,Natural Garnet,26.61,Orange-Brown,Eye Clean,Sri Lanka,555.12,4/1/2019
136,41,Pyrope Garnet,Natural Garnet,26.72,Deep Red,Eye Clean,Bohemia,103.98,2/20/2021
137,19,Andradite Garnet,Natural Garnet,13.13,Yellow-Green,Eye Clean,Namibia,269.42,5/28/2022
138,40,Grossular Garnet,Natural Garnet,3.35,Green,Eye Clean,Russia,239.05,9/8/2019
139,47,Almandine Garnet,Natural Garnet,1.13,Red,Eye Clean,India,157.92,3/1/2020
140,16,Uvarovite Garnet,Natural Garnet,14.47,Emerald Green,Eye Clean,Finland,2003.35,10/22/2020
141,23,Blue Zircon,Natural Zircon,45.63,Blue,Eye Clean,Cambodia,491.49,8/2/2021
142,41,Green Zircon,Natural Zircon,29.39,Green,Eye Clean,Sri Lanka,103.15,4/20/2019
143,8,Yellow Zircon,Natural Zircon,25.62,Yellow,Eye Clean,Thailand,307.98,8/6/2018
144,60,Red Zircon,Natural Zircon,16,Red,Eye Clean,Australia,619.91,4/22/2019
145,15,Colorless Zircon,Natural Zircon,34.8,Colorless,Eye Clean,Cambodia,296.49,4/15/2021
146,35,Swiss Blue Topaz,Natural Topaz,7.49,Swiss Blue,Eye Clean,Brazil,126.98,2/2/2025
147,48,London Blue Topaz,Natural Topaz,13.39,London Blue,Eye Clean,Brazil,170.5,4/21/2025
148,12,Sky Blue Topaz,Natural Topaz,4.55,Sky Blue,Eye Clean,Brazil,104.65,1/30/2018
149,50,White Topaz,Natural Topaz,43.44,Colorless,Eye Clean,Pakistan,104.03,6/2/2018
150,43,Mystic Topaz,Treated Topaz,31.5,Multi-Color,Eye Clean,Brazil,186.63,10/31/2023
151,19,Purple Amethyst,Natural Quartz,19.84,Deep Purple,Eye Clean,Uruguay,97.44,5/4/2021
152,47,Green Amethyst,Natural Quartz,33.54,Green,Eye Clean,Brazil,52.61,6/19/2021
153,15,Citrine,Natural Quartz,20.89,Yellow-Orange,Eye Clean,Brazil,70.67,7/16/2024
154,49,Ametrine,Natural Quartz,10.88,Purple-Yellow,Eye Clean,Bolivia,48.44,2/9/2018
155,60,Rose Quartz,Natural Quartz,8.9,Pink,Translucent,Brazil,18.7,5/17/2020
156,41,Smoky Quartz,Natural Quartz,35.97,Brown-Black,Eye Clean,Brazil,21.61,9/23/2018
157,59,Moonstone,Natural Feldspar,45.39,Blue Adularescence,Semi-Translucent,Sri Lanka,264,11/13/2024
158,32,Labradorite,Natural Feldspar,25.24,Gray-Blue,Labradorescence,Madagascar,55.42,7/1/2019
159,55,Sunstone,Natural Feldspar,16.26,Orange-Red,Aventurescence,Oregon USA,171.68,5/13/2025
160,4,Opal Black,Natural Opal,22.88,Black,N/A,Lightning Ridge Australia,1976.82,6/21/2023
161,19,Opal White,Natural Opal,43.62,White,N/A,Coober Pedy Australia,1131.58,5/3/2024
162,28,Fire Opal,Natural Opal,38.54,Orange,N/A,Queretaro Mexico,603.69,1/13/2023
163,23,Boulder Opal,Natural Opal,1.54,Multi-Color,N/A,Queensland Australia,1236.48,5/20/2021
164,25,Ethiopian Opal,Natural Opal,37.01,Crystal,N/A,Welo Ethiopia,196.85,5/20/2022
165,8,Iolite,Natural Cordierite,6.3,Blue-Violet,Eye Clean,India,302.75,11/27/2023
166,58,Peridot,Natural Olivine,23.83,Olive Green,Eye Clean,Pakistan,184.01,3/13/2024
167,39,Chrysoberyl,Natural Chrysoberyl,28.1,Yellow-Green,Eye Clean,Brazil,316.26,7/23/2018
168,51,Cat's Eye,Natural Chrysoberyl,39.65,Yellow-Green,Chatoyant,Sri Lanka,1498.79,9/16/2023
169,16,Kunzite,Natural Spodumene,40.93,Pink-Lilac,Eye Clean,Afghanistan,457.83,6/22/2022
170,41,Hiddenite,Natural Spodumene,30.59,Green,Eye Clean,North Carolina USA,592.67,11/9/2018
171,45,Kornerupine,Natural Kornerupine,11.42,Green,Eye Clean,Tanzania,1988.04,12/28/2021
172,12,Sphene,Natural Titanite,23.62,Yellow-Green,Eye Clean,Pakistan,585.71,12/8/2020
173,7,Apatite,Natural Apatite,33.73,Teal,Eye Clean,Madagascar,126.59,4/13/2018
174,22,Scapolite,Natural Scapolite,10.54,Yellow,Eye Clean,Tanzania,369.14,10/17/2021
175,30,Clinohumite,Natural Clinohumite,16.23,Orange,Eye Clean,Tajikistan,1670.01,11/27/2022
176,53,Benitoite,Natural Benitoite,49.23,Blue,Eye Clean,San Benito USA,5924.31,7/10/2019
177,44,Grandidierite,Natural Grandidierite,41.38,Blue-Green,Eye Clean,Madagascar,3085.24,8/29/2024
178,36,Painite,Natural Painite,0.77,Red-Brown,Eye Clean,Myanmar,57228.89,10/29/2022
179,16,Taaffeite,Natural Taaffeite,26.34,Mauve,Eye Clean,Sri Lanka,14185.28,4/13/2018
180,17,Musgravite,Natural Musgravite,28.41,Gray-Violet,Eye Clean,Antarctica,22729.92,9/16/2024
